Name,Address,Povince,Contact Numbers,Email,Web_link
Kia Motors Canal Road,"Lucky Tower West Canal Road Mansoorabad,","Punjab, Pakistan.",Sales:0418503988:Sales:0418538060,asim.bhatti@kiacanal.com,
Kia Motors Chenab,"Nayyer Malls G.T Road Gujrat,","Punjab, Pakistan.",Sales:+92533707801-3,sales@kia-chenab.com,https://www.kia-chenab.com/
Kia Motors Chinar,"Plot # 15-A Main Defence Road near Football Chowk,","Punjab, Pakistan.",Sales:05827438388,fmkiani5@gmail.com,
Kia Motors Citrus City,"6km-Lahore Road Sargodha,","Punjab, Pakistan.",Sales:+92483212190-2,khawar@kiamotors-citruscity.com,https://www.kiamotors-citruscity.com/
Kia Motors City of Saints,"348-Khanewal Road,","Punjab, Pakistan.",Sales:06167808814,abdulrehman@kiamotors-cityofsaints.com,
Kia Motors Clifton,"Ground Floor Emerald Tower 2 Talwar,","Plot
                                                                G-19 Khayaban e Iqbal Clifton Karachi Sindh, Pakistan.",Sales:+922135147601-04:Service:+922135147020-22,info@kiamotorsclifton.com,https://kiaclifton.com/
Kia Motors Crossroads,"Plot No. 11 Block 1-A Sadiq Livna Housing Scheme,","By-Pass Road Hyderabad Sindh, Pakistan.",Sales:+923111333542,s.manager@kiamotors-crossroads.com,https://kia-motors-cross-roads-hyderabad.business.site/
Kia Motors Defence,"E-61 Saqib Town Manawalla Stop Badian Road,","Punjab, Pakistan.",Sales:042371681013,salesmanager@kiamotors-defence.com,
Kia Motors Ferozepur Road,"313 Bhabra Main Ferozepur Road,","Punjab, Pakistan.",Sales:042354417003,managersales@kiaferozepur.com,
Kia Motors Greenfields,"2-A Small Industries Estate # 1,","G.T.
                                                                Road Punjab, Pakistan.",Sales:05537313368,kia.greenfields@gmail.com,
Kia Motors Khyber,"Pushtakhara Bala Ring Road,","khyber-pakhtunkhwa, Pakistan.",Sales:0915230256,sales@kiamotors-khyber.com,
Kia Motors Marshals,"Talangang Rd Murid,","Punjab, Pakistan.",Sales:03008556555,salesmanager.kiamarshals@gmail.com,
Kia Motors Port Qasim,"Plot No. 164 Jogi Mor Main National Highway Karachi,","Sindh, Pakistan.",Sales:+923111438111,sales@kiamotors-portqasim.com,https://kiamotors-portqasim.com/
Kia Motors Potohar,"Sowan Camp Main G.T. Road near Bahria Phase 7,","Punjab, Pakistan.",Sales:0518313632,info@kiapotohar.com.pk,
Kia Motors Samaa,"395-Shadman Jail Road,","Punjab, Pakistan.",Sales:03004530072,sales@kiamotors-samaa.com,
Kia Motors Silk Route,"N-35 Neelay Pare,","khyber-pakhtunkhwa, Pakistan.",Sales:0992860846,ymkhan100@gmail.com,
Kia Motors Society,"83/D Khalid Bin Waleed Road,","P.E.C.H.S Block-2 Sindh, Pakistan.",Sales:02134314999:Sales:02134315999:Sales:02134311550,aatif@kiamotorssociety.com,
Kia Motors South,"12/1 Sector 23 Korangi Industrial Area Karachi,","Sindh, Pakistan.",Sales&Service:+923041111542,meraj.farooqi@kiamotorssouth.com,https://www.kiamotorssouth.com/
Kia Motors Township,"Plot No. 41 Block 10 Sector-B/1,","Quaid-e-Azam Town Scheme Punjab, Pakistan.",Sales:0423521431416,furqan.a@luckymotorcorp.com,
Kia Motors United,"Thalli Chowk Bypass Road,","Punjab, Pakistan.",Sales:0685886089,usman@kiamotors-united.com,
